"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","409","checkLoginWithoutPassword","Surefire suite","Wed Jul 30 16:20:53 GMT 2025","passed","Wed Jul 30 16:20:53 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutPassword"
"","400","checkLoginWithoutUsername","Surefire suite","Wed Jul 30 16:20:54 GMT 2025","passed","Wed Jul 30 16:20:54 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithoutUsername"
"","876","testAddToCartAndVerify","Surefire suite","Wed Jul 30 16:20:51 GMT 2025","passed","Wed Jul 30 16:20:52 GMT 2025","tests.LocatorsTest","Surefire test","tests.LocatorsTest","testAddToCartAndVerify"
"","412","checkLoginWithNegativeValue","Surefire suite","Wed Jul 30 16:20:52 GMT 2025","passed","Wed Jul 30 16:20:52 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeValue"
